0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
-697.7926,54.89004,0.6634652,12.435786,7.7339506,0.5307501,-3.216631,-3.1593947,-10.977551,-2.848711,0.81529754,-3.0370667,1.9554468,-3.735668,0.43770033,0.78235644,-4.0714283,-1.8607767,-1.3236902,-0.9204634,-5.9476104,-0.50543827,-2.3373911,-4.5227795,-1.6797223,-0.8193209,-4.858483,0.255336,-2.1487043,0.14505497,-2.035756,-2.119634,-2.7125885,-1.836127,-3.2048054,-1.5453684,-1.0909374,-1.7701062,-3.501132,-1.5380875,neutral
-692.8558,55.3639,-1.5483192,16.038307,8.81881,-0.14658625,-1.3733919,-5.29318,-11.623182,-1.3482836,0.8437146,-2.6412783,1.0172496,-3.2715344,-0.12507735,0.41549584,-4.512702,-0.9811603,-1.9375046,0.53967935,-5.461219,-0.87367284,-2.0000944,-4.716795,-0.6370717,-1.6493348,-4.804332,1.2920089,-2.3068974,0.16486615,-1.4563135,-2.6772985,-2.143264,-2.4610777,-3.0190272,-0.80486065,-1.2902694,-3.0869722,-3.2097483,-2.3071594,neutral
-691.5879,58.024662,0.15946469,13.62465,5.374112,1.1623365,-2.0833597,-5.382585,-10.332824,-3.6620808,0.5606006,-2.8382254,1.8347856,-3.4295056,-2.0089593,0.8973523,-4.9566164,-3.0928066,0.08493778,0.08255083,-5.342685,-1.0300522,-1.9516917,-3.3513253,-1.3088561,-0.3240955,-4.1769767,-0.3092851,-2.1818514,-0.29272512,-1.8071278,-2.1343443,-2.395042,-1.902937,-2.7644312,-1.9791775,-1.1045033,-2.7295372,-3.5089064,-2.2463746,neutral
-685.10547,55.87942,2.783262,13.252024,6.9896684,2.9812741,-1.5860289,-6.961661,-10.348489,-3.270769,1.1761655,-1.4986562,0.5515501,-2.7526166,-1.1690222,1.8486956,-4.3786397,-2.018788,-0.10291697,-0.610935,-4.8114753,-1.8650618,-1.3410417,-2.6694007,-2.0776443,-0.9822339,-4.1827083,-0.0247672,-2.1837108,0.48159045,-2.439686,-2.1663747,-2.8813,-2.769905,-3.2363772,-1.4572067,-0.95310575,-2.4500818,-3.4195793,-3.367245,neutral
-727.1044,62.355034,3.121181,15.064671,8.132434,1.927084,-3.2746563,-3.7617917,-9.7502985,-4.8538365,0.99631536,-3.1160698,0.5463205,-3.2890222,-0.41249615,1.5854982,-5.4650416,-0.71768314,-1.1985663,-1.5290676,-4.65829,-1.302867,-2.738592,-4.288325,-1.7293985,-1.1769474,-4.8241954,1.3670596,-3.066009,0.5510068,-2.091125,-1.2008951,-1.9106003,-2.4236846,-1.7693837,-0.41855645,-1.7917831,-1.7210658,-3.8579278,-2.7115364,calm
-707.3582,66.736465,2.2534883,11.169916,9.74208,1.058092,-4.4261856,-4.6836147,-8.313273,-4.8136663,1.7525572,-2.3765423,-0.20691955,-3.468696,-1.5752851,1.1110421,-4.9100523,-2.159928,-0.79209393,-1.416071,-4.60517,-1.7617528,-2.5678155,-4.261956,-2.12427,-1.3611802,-4.4221687,0.3017365,-2.8640974,0.21939571,-3.3755896,-2.3204243,-3.3910594,-3.419351,-3.7625532,-1.2389066,-2.1158082,-3.0562005,-4.2864046,-4.068605,calm
-697.16614,65.1082,0.93036777,13.633627,5.959596,2.8950698,-1.3418186,-4.775753,-8.671515,-4.5529985,1.9706045,-1.6276461,1.4267263,-4.512681,1.4856336,0.12033377,-6.2861857,-2.6441517,-0.073655486,-1.7246207,-5.888149,-1.4929607,-2.2940514,-3.2510755,-2.3311152,-1.0499359,-5.421697,0.8989102,-3.8330967,-0.11006125,-3.1405463,-1.7525977,-2.5507133,-3.1152203,-4.218177,-2.0304513,-2.1678355,-2.3133814,-4.7583847,-2.8727634,calm
-698.6377,68.698586,1.1003666,13.685944,8.338751,2.0671213,-0.6167906,-5.732325,-7.8613234,-4.411919,1.0114723,-1.7058654,1.593434,-3.5992126,0.6062445,1.1798761,-5.454558,-1.8621155,-0.45047104,-1.0337069,-6.331614,-1.5091119,-2.352543,-2.0545113,-2.56466,-0.6289651,-4.346093,0.1733806,-3.8308544,0.06484806,-3.471006,-1.7393603,-2.234445,-2.6127748,-3.4992464,-1.7921942,-1.2107462,-2.366726,-3.489472,-3.3519738,calm
-734.1256,70.53291,4.2251797,13.866501,9.2765255,1.8420302,-3.7091064,-2.8845074,-6.3325033,-4.483915,2.006491,-0.029675055,-0.17859086,-3.7752519,0.14778891,0.4342369,-1.8853134,-2.588742,-0.40041494,1.0377576,-7.0278807,0.0038508414,-2.6830063,-3.931071,-1.9202541,-0.77792215,-3.2663586,1.004213,-3.2461143,0.18153052,-3.5314636,-2.8758774,-3.8215022,-2.0913365,-5.3262854,0.4885443,-2.8973765,-2.4300013,-4.8473377,-3.196199,calm
-697.8223,67.33959,-0.44955143,11.884349,6.899115,0.57238865,-4.5503764,-6.025094,-7.9348655,-4.8724413,2.6747522,-1.4644698,-1.1086313,-4.6803093,-0.10664478,-0.87412345,-4.023424,-2.223397,-0.75716484,-0.25101364,-6.4024,0.11486957,-2.189419,-3.664039,-2.4002168,-1.5357814,-4.5921235,0.12194187,-2.7362068,-0.6531602,-3.9872084,-2.440517,-4.265291,-2.8770092,-5.2783966,-1.1333706,-2.1303878,-2.2514791,-4.4583406,-3.4148383,calm
